	Fail	Surrender	Massed Assault	Vertical Envelope		Sweep	Probe	Harass	Echelon	Attrition	Flank	Maneuver	Limited Resistance	Feint	Ruse	Support	Trap	Divide	Single Line	Spread Defense	Retreat	Fighting Withdraw	Ambush	
TableStart	BattlePlanMatrix																							
ColumnHeadingsStart	A_MF	A_S	A_MAS	A_VE	A_PA	A_SW	A_PR	A_HAR	A_EC	A_AT	A_FL	A_MAN	A_LR	A_FE	A_RUS	A_SUP	A_TR	A_DIV	A_SL	A_SD	A_RET	A_FW	A_AM	
RowHeadingsStart																								
D_MF	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
D_S	30	100	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	
D_MAS	30	10	100	110	110	125	95	75	75	95	110	75	75	115	130	125	130	85	95	125	100	100	110	80
D_PA	30	10	105	125	100	85	75	110	110	115	130	85	65	125	130	135	100	75	110	135	100	100	125	100
D_SW	30	10	115	75	85	85	110	85	110	120	95	110	130	100	110	100	100	125	130	100	100	100	100	100
D_PR	30	10	130	75	125	95	95	100	125	130	95	100	115	100	85	75	100	130	85	85	100	100	95	100
D_HAR	30	10	115	120	110	95	125	65	110	100	100	130	125	125	75	85	85	110	100	130	85	95	65	100
D_EC	30	10	120	85	125	85	75	75	100	95	110	95	115	85	110	95	100	100	75	75	100	100	100	100
D_AT	30	10	110	85	110	95	75	130	75	100	75	85	110	75	95	100	95	110	110	125	100	100	110	100
D_FL	30	10	130	115	125	125	115	100	85	110	65	100	115	95	125	75	95	125	100	85	100	100	95	100
D_MAN	30	10	80	130	110	130	110	125	95	125	115	125	100	125	130	130	135	100	85	100	65	75	135	100
D_LR	30	10	85	65	95	75	75	85	100	100	75	115	100	115	95	85	100	125	85	100	100	100	100	100
D_FE	30	10	95	120	85	105	100	110	105	100	110	125	95	95	115	95	85	95	125	125	75	75	85	92
D_RUS	30	10	75	65	110	95	85	100	100	110	95	110	125	110	75	95	100	130	100	100	95	110	100	98
D_SUP	30	10	65	110	65	65	130	110	100	110	95	100	110	110	130	100	65	85	75	110	85	110	100	100
D_TR	30	10	75	75	110	110	75	110	75	75	75	115	100	100	95	125	100	100	100	125	100	100	115	100
D_DIV	30	10	75	130	95	130	115	95	95	85	130	85	75	75	75	135	100	85	115	95	100	100	100	100
D_SL	30	10	95	100	95	110	120	85	95	95	110	75	85	95	100	95	85	110	115	95	95	95	95	100
D_SD	30	10	125	110	75	75	95	100	100	85	125	95	95	130	100	75	100	75	100	100	100	100	110	100
D_FOR	30	10	95	105	110	95	115	100	115	95	125	115	100	95	85	95	110	115	110	95	100	100	100	100
D_RET	30	10	100	90	125	130	130	100	110	110	130	100	100	100	115	115	100	125	100	100	100	100	100	101
D_FW	30	10	85	85	110	115	130	100	100	100	130	95	100	110	110	115	100	130	100	100	100	100	100	100
D_AM	30	10	65	85	65	75	125	130	110	95	110	95	115	110	125	100	110	115	75	125	100	125	100	100
TableEnd			112	114	112	108	105	105	105	105	110	108	105	130	108	108	117	113	112	112	107	107	112	
																								
																								
	Number shown is the percentage effectiveness of the ATTACKER.  Defender has 200 - # shown percentage.																							
