TableStart	MilitaryCollateralDamageTargets														
ColumnHeadingsStart	Size	Damage	Atmospheric	Aquatic	Subterranean	Civil Defense 1	Civil Defense 2	Civil Defense 3	Civil Defense 4	EnviroSuit	BattleSuit	Armored Exoskeleton	Powered Armor	Special Rules	
RowHeadingsStart															
Each Missile Base	27	20	2.00	1.50	0.50	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If any are available, one is added to lottery if collater damage is applied to a single region"	
Each Beam Base	22	15	2.00	1.50	0.65	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If any are available, one is added to lottery if collater damage is applied to a single region"	
Each Fighter Base	42	25	2.00	1.50	0.80	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If any are available, one is added to lottery if collater damage is applied to a single region"	
Infrastructure Level 1	10	10	2.00	1.50	0.75	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 2	20	10	2.00	1.50	0.75	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 3	40	20	2.00	1.50	0.75	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 4	80	40	2.00	1.50	0.75	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	"If hit, reduces the Infrastructure by 1 level"	
"Each Military Building Type A, Level 1"	15	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type A, Level 2"	25	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type A, Level 3"	40	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type A, Level 4"	60	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type B, Level 1"	20	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type B, Level 2"	35	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type B, Level 3"	55	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
"Each Military Building Type B, Level 4"	80	20	2.00	1.50	0.50	1.00	1.00	1.00	9.00	9.00	9.00	9.00	9.00		
Military DEA	100	5	2.00	1.50	0.90	1.00	1.00	1.00	1.00	9.00	9.00	9.00	9.00	Does not go into the collateral damage target lottery until everything in it has been destroyed.	
TableEnd															
															
TableStart	EconomicCollateralDamageTargets														
ColumnHeadingsStart	Size	Damage	Atmospheric	Aquatic	Subterranean	Civil Defense 1	Civil Defense 2	Civil Defense 3	Civil Defense 4	EnviroSuit	BattleSuit	Armored Exoskeleton	Powered Armor	Special Rules	
RowHeadingsStart															
Infrastructure Level 1	25	5	2.00	1.50	0.75	1.00	0.90	0.80	0.70	2.00	2.00	2.00	2.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 2	50	10	2.00	1.50	0.75	1.00	0.90	0.80	0.70	2.00	2.00	2.00	2.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 3	100	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	2.00	2.00	2.00	2.00	"If hit, reduces the Infrastructure by 1 level"	
Infrastructure Level 4	200	50	2.00	1.50	0.75	1.00	0.90	0.80	0.70	2.00	2.00	2.00	2.00	"If hit, reduces the Infrastructure by 1 level"	
Each 0.05 Population Point	1	20	1.00	1.00	1.00	0.80	0.60	0.40	0.20	2.00	2.00	2.00	2.00		
"Each Manufacturing Building Type A, Level 1"	15	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type A, Level 2"	25	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type A, Level 3"	40	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00    9.00		
"Each Manufacturing Building Type A, Level 4"	60	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type B, Level 1"	20	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type B, Level 2"	35	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type B, Level 3"	55	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Manufacturing Building Type B, Level 4"	80	20	2.00	1.50	0.75	1.00	0.90	0.80	0.70	9.00	9.00	9.00	9.00		
"Each Mining Building Type A, Level 1"	5	15	2.00	1.50	0.75	1.00	0.90	0.80	0.70	2.00	2.00	2.00	2.00		
