3 stats are checked when determining when an offer is proposed: the Casus Belli, relations, and BaseCore reaction of the involved empire. 																		
BaseCore is effected by the modifiers CRTreaty,CRPeaceT,CRTradeM,CRExchng,CRDipGon,CRLarges and BaseCore as well as emphasis																		
CRDipGon effects the AskingCheck of empires dealing with you.																		
CRLarges seems to effect the AIs trade logic (ie the chances of a trade being beneficial to you).																		
																		
																		
																		
				Amount of lottery balls given to proposal	Current Ralations have to fall between these values for a successful proposal		Casus Belli has to fall between these values for a successful proposal		The amount of BaseCore Needed for proposal. For pronouns, BaseCore must be less than the number shown here	The amount of BaseCore Needed for acceptance				These modifiers effect the recipient of the offer when it is proposed	These modifiers effect the sender of the offer when the offer is received	These modifiers effect the sender of the offer when it is accepted	These modifiers effect both sender and recipient continually	
TableStart	ForeignRelations																	
ColumnHeadingsStart	Unicode	Unidesc	SortTag	LottryWt	CRMinAsk	CRMaxAsk	CBMinAsk	CBMaxAsk	AskingCheck	MaxRefuse	MaxNoAns	MaxStall	MaxCounter	OfferMods	ReceiveMods	AcceptMods	OngoingMods	NOTES
RowHeadingsStart																		
EstablishEmbassy	DPEstEmb	Temp	EstEmb	0	-85	200	-200	200	20	34	44	54	64		CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=-30,CRLarges+=-30	DiploPts+=10		
Attaboy	DPAttaby	Temp	Pronoun	1	-133	200	-200	200	10	-999	-989	-979	-969	DiploPts+=(0:10), MeansWar+=-1	CRLarges+=20,CasusBel+=(0:30)			
Warning	DPWarnin	Temp	Pronoun	2	-200	200	-135	200	0	-999	-989	-979	-969	DiploPts+=(-15:-7)	CRDipGone+=-20, CasusBel+=(-20:0)			
Threat	DPThreat	Temp	Pronoun	7	-133	200	-200	200	20	-999	-989	-979	-969	DiploPts+=(-30:-15), MeansWar+=1	CRTreaty+=-45,CRPeaceT+=-45,CRDipGon+=-45, CasusBel+=(-50:0)			Half the normal Oath Breaker penalty is applied.
End Their Tribute to Us	DPCncEmb	Temp	Pronoun	1	100	200	-200	200	0	-999	-989	-979	-969		DiploPts+=(0:10), MeansWar+=-1			
End Tribute	DPEndTrb	Temp	Pronoun	5	62	200	-200	200	60	-999	-989	-979	-969	DiploPts+=(-25:-10)	CRTreaty+=-10,CRPeaceT+=-10,CRTradeM+=-10,CRExchng+=-10,CRDipGon+=-10,CRLarges+=-10, CasusBel+=(-37:-15)			Immediately ends all Tribute agreements to Target Civ
Impose Sanctions	DPImpSnc	Temp	Pronoun	20	-200	-30	-200	200	-20	-999	-989	-979	-969	DiploPts+=(-15:0)	CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=-30,CRLarges+=-30,CasusBel+=(-15:-5)		TradeAmt*=0.6	Minus 40% value to all trade agreements between the two civs.
Increase Sanctions to Embargo	DPIncSnc	Temp	Pronoun	0	-200	-60	-200	200	-45	-999	-989	-979	-969	DiploPts+=(-30:-5)	CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=-30,CRLarges+=-30,CasusBel+=(-30:-7)		TradeAmt*=0.1	
Impose Embargo 	DPEmbrgo	Temp	Pronoun	40	-200	-60	-200	200	-45	-999	-989	-979	-969	DiploPts+=(-50:-15), MeansWar+=1	CRTreaty+=-70,CRPeaceT+=-70,CRTradeM+=-70,CRExchng+=-70,CRDipGon+=-70,CRLarges+=-70,CasusBel+=(-40:-5)		TradeAmt*=0.1	
End All Trade Agreements	DPEndTrA	Temp	Pronoun	30	-200	-80	-136	200	-55	-999	-989	-979	-969	MeansWar+=1	CRDipGone+=-30, CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=-30,CRLarges+=-30			{Closes Borders to Trade; Ends all Trade and Research Agreements}
End All Treaties	DPEndTrt	Temp	Pronoun	30	-200	-80	-136	200	-55	-999	-989	-979	-969	MeansWar+=1	CRDipGone+=-50, CRTreaty+=-50,CRPeaceT+=-50,CRTradeM+=-50,CRExchng+=-50,CRDipGon+=-50,CRLarges+=-50			Cancel all treaties at once with this.
Ending Your Embargo	DPEndYEm	Temp	Pronoun	5	-60	200	-200	200	30	-999	-989	-979	28	CRDipGon+=20, MeansWar+=-1	DiploPts+=(0:36),CRPeaceT+=30,CRTradeM+=30,CRExchng+=30,CRDipGon+=30,CRLarges+=30			
Ease Your Embargo	DPEasEmb	Temp	Pronoun	0	-70	200	-70	200	20	-999	-989	-979	4	DiploPts+=(10:15), CRDipGon+=10, MeansWar+=-1	DiploPts+=(0:24), CRPeaceT+=30,CRTradeM+=30,CRExchng+=30,CRDipGon+=30,CRLarges+=30			
Ending Your Sanctions	DPEndYSc	Temp	Pronoun	4	-150	200	-200	200	25	-999	-989	-979	-23	DiploPts+=(5:15), CRDipGon+=10, MeansWar+=-1	DiploPts+=(0:18), CRPeaceT+=70,CRTradeM+=70,CRExchng+=70,CRDipGon+=70,CRLarges+=70			
Declare War	DPDecWar	Temp	Pronoun	100000	-200	200	-200	-136	-70	-999	-989	-979	-969	DiploPts+=(-60:-25), MeansWar+=2	CRTreaty+=-75,CRPeaceT+=-75,CRTradeM+=-75,CRExchng+=-75,CRDipGon+=-75,CRLarges+=-75			{Closes Borders to Trade; Ends all Trade and Research Agreements}
Pay Tribute	DPTribut	Temp	Pronoun	0	-200	-200	-200	-200	-200	-999	-999	-999	-999					
Cease Fire	DPCeasFr	Temp	Peace	2	-200	200	-90	200	80	40	10	0	-30		CRPeaceT+=-30, DiploPts+=10	DiploPts+=10,EnfPeace=(4:9)	CasusBel+=(-1:1)	
Armistice	DPArmist	Temp	Peace	4	-200	200	-75	200	110	60	20	10	-20		CRPeaceT+=-30, DiploPts+=10	DiploPts+=20,EnfPeace=(6:13)	CasusBel+=(-1:3)	
Peace Accord	DPPeaceT	Temp	Peace	6	-200	200	-25	200	130	80	30	20	-10		CRPeaceT+=-30, DiploPts+=10	DiploPts+=30,EnfPeace=(8:15)	CasusBel+=(-1:4)	
Conditional Surrender	DPConSur	Temp	Peace	10	-200	200	-180	-140	110	-170	-150	-140	-165		CRPeaceT+=-30, DiploPts+=10	DiploPts+=(-20:20), PercImg+=40,EnfPeace=(12:21), MeansWar+=-1, 	CasusBel+=(-3:3)	Surrendering Civ pays Reparations of 1% to 3% of Imperial treasury income each turn until Peace ends
Unconditional Surrender	DPUncSur	Temp	Peace	12	-200	200	-140	-90	150	-180	-175	-170	-185		CRPeaceT+=-30, DiploPts+=10	DiploPts+=(-30:30), PercImg+=30, EnfPeace=(16:30), MeansWar+=-1	CasusBel+=(-2:5)	Surrendering Civ pays Reparations of 3% to 7% of Imperial treasury income each turn until Peace ends
Non-Aggression Pact	DPNonAgg	Temp	Treaty	50	-20	200	-200	200	90	70	60	40	20		CRDipGone+=10, DiploPts+=-10	DiploPts+=20, CRPeaceT+=20, CRTradeM+=10	DiploPts+=(-1:2)	Combat Task Forces will no violate borders
Def Alliance	DPDefAll	Temp	Treaty	50	60	200	-200	200	140	120	110	100	90		CRDipGone+=10, DiploPts+=-10	DiploPts+=20, CRPeaceT+=30, CRTradeM+=20	DiploPts+=(-2:3)	
Full Alliance	DPFllAll	Temp	Treaty	6	100	200	-200	200	180	150	140	130	160		CRDipGone+=20, DiploPts+=-10	DiploPts+=20, CRPeaceT+=30, CRTradeM+=20	DiploPts+=(-3:5)	
Fullfill Full Obligation	DPFulOff	Temp	Treaty	30	60	200	-200	200	170	150	140	130	160	DiploPts+=(-20:-10)	CRTreaty+=-70,CRPeaceT+=-70,CRTradeM+=-70,CRExchng+=-70,CRDipGon+=-70,CRLarges+=-70,CasusBel+=(-40:-5), MeansWar+=1	CRTreaty+=70,CRPeaceT+=70,CRTradeM+=70,CRExchng+=70,CRDipGon+=70,CRLarges+=70,CasusBel+=(50:5),MeansWar+=-1		
TA: Economic	DPEconom	Temp	Trade	7	-21	200	-200	200	50	30	20	10	40		DiploPts+=(-10:0)	DiploPts+=(0:15), CRTreaty+=5, CRExchng += 5	CasusBel+=(-1:2)	
Improve TA: Economic	DPImpEco	Temp	Trade	45	-47	200	-200	200	-10	0	-20	-30	-10		DiploPts+=(-10:0)	DiploPts+=(0:15), CRTreaty+=10, CRExchng += 10		
TA: Intelligence 	DPIntell	Temp	Trade	3	110	200	-200	200	70	50	40	30	60		DiploPts+=(-12:0),CasusBel+=(-15:-5)	DiploPts+=(0:24),CasusBel+=(5:15), CRTreaty+=20, CRExchng += 20,		
TA: Open Border : Trade	DPOpBrdT	Temp	Trade	5	40	200	-200	200	70	50	40	30	60		DiploPts+=(-16:0)	DiploPts+=(0:24), CRTreaty+=10, CRExchng += 10	TradeAmt*=1.25	
TA: Research	DPResear	Temp	Trade	10	-61	200	-200	200	30	20	10	-20	20		DiploPts+=(-8:0)	DiploPts+=(0:16), CRTreaty+=5, CRExchng += 5	CasusBel+=(-1:2)	
