TableStart	MoleNames		
ColumnHeadingsStart	UnicodeTag		
RowHeadingsStart			"I used MONM as the first four unicode letters to mean ""Mole Name"""
monmabcs	Abcess		
monmabst	Absentia		
monmaceh	Ace in the Hole		
monmaclt	Acolyte		
monmaegr	Aeigir		
monmaesr	Aesir		
monmatlf	Afterlife		
monmabtr	Albatross		
monmalph	Alpha		
monmatrx	Anthrax		
monmaphr	Aphrodite		
monmarch	Archon		
monmargs	Argos		
monmarms	Armistice
monmarts	Artemis
monmasca	Ascania
monmasmd	Asmodi 
monmathn	Athena
monmauls	Aulis
monmavln	Avalon
monmbkbt	Backbeat
monmbdft	Backdraft
monmbkfr	Backfire
monmbwtr	Backwater
monmbdbr	Bad Breath
monmbdgr	Badger
monmbgmn	Bagman
monmbnpl	Banana Peel
monmbark	B'ark
monmbarn	Baron
monmbssk	Basilisk
monmblpn	Bellerophon
monmbint	Best Intentions
monmbmbo	Bimbo
monmbsmk	Bismarck
monmbstn	Bistonia
monmblck	Black
monmbcur	Black Current
monmbkhd	Black Hand
monmbkkt	Black Knight
monmbktb	Black Thumb
monmbckt	Blackout
monmblnd	Blindness
monmbdsd	Blindside
monmbkrn	Blockade Runner
monmbnde	Blonde
monmbdns	Bloody Nose
monmblfs	Blowfish
monmblsm	Blue Smoke
monmbbsl	Bombshell
monmbrvo	Bravo
monmbrnr	Brenner
monmbrvd	Brevard
monmbran	Bubba Bo Bob Brain
monmbrgt	Brigit
monmbrke	Brooke
monmbrnt	Brownout
monmbsbe	BusyBee
monmbfly	Butterfly
monmbzzd	Buzzard
monmbyza	Byzan'tar 
monmcdms	Cadmus
monmcldn	Calydon
monmcmbk	Camelback
monmcnry	Canary
monmcrbn	Carbonous
monmcrdn	Cardinal
monmcrrn	Carrion 
monmctmn	Cartman
monmcstr	Castor
monmcnsr	Censor
monmchrt	Chariot
monmchrl	Charlie
monmchsm	Chasm
monmckpt	Checkpoint
monmcphr	Cipher
monmcrce	Circe
monmctcn	Citizen Cain
monmclok	Cloak
monmckwk	Clockwork
monmcbra	Cobra
monmcdpw	Cold Paw
monmcdsd	Cold Shoulder
monmclss	Colossus
monmcdum	Comfortably Dumb
monmcnvy	Convoy
monmcrca	Corcyra
monmcrna	Corona 
monmcrsn	Corrosion
monmcrpr	Corruptor
monmctdn	Countdown
monmcvnt	Covenant
monmcow1	Cow
monmcyte	Coyote
monmcziv	Crazy Ivan
monmcdby	Credibility
monmcmsn	Crimson
monmcscn	Crossconnect
monmcsgd	Crossguard
monmcrow	Crow
monmcrys	Crystal
monmcota	Curse of the Ancients
monmctps	Cutpurse
monmcycl	Cyclops
monmcyme	Cyme
monmdmcl	Damocles
monmdnte	Dante
monmdkfx	Dark Fox
monmdkst	Dark Star
monmdkhr	Darkest Hour
monmdkmn	Darkman
monmdkrm	Darkroom
monmdtdm	Data Dump
monmdtex	Data Extractor
monmdtls	Dauntless
monmdcdn	Decadence
