Format block usage							
Message type		Uses format list					
							
Variable list - Variables in ALL CAPS are types of a format block; others are embedded or secondary variables							
TableStart	Definitions						
ColumnHeadingsStart	Content	Tablename			Notes	TableType	
RowHeadingsStart							
%race1%	Race involved with this report	n/a				0	
%race2%	Race involved with this report	n/a				0	
%REPORT	The text of whatever event has occurred	ReportType				16	
%subject%	The subject of this report	n/a				0	
%value1%	Misc text value 1	n/a				0	
%value2%	Misc text value 2	n/a				0	
%value3%	Misc text value 3	n/a				0	
TableEnd							
							
							
TableStart	Sitrep Formats						
ColumnHeadingsStart	Format						
RowHeadingsStart							
1	%REPORT						
TableEnd							
							
Note: If you change the number of columns in front of the text tags, the code needs to be updated to reflect this (look for NUM_COLUMNS_BEFORE_TEXT_TAGS in SitrepReporter.cpp). 							
							
TableStart	ReportType						
ColumnHeadingsStart	Type	Priority	Class	Icon	TextTag	TextTag2	TextTag3
RowHeadingsStart							
NewStarlane	New	Event	Reg	ICO_SitRep_ExplorationComplete	STARLN01	STARLN01	STARLN01
SpaceCombat	New	Event	Reg	ICO_SitRep_SpaceCombat	SITRF001	SITRF002	SITRF003
ResearchBreakthrough	New	Yellow	Reg	sitrep_tech	SITRF004	SITRF005	SITRF006
TechPrototype	New	Yellow	Tech_Brkthru	sitrep_tech	SITRF007	SITRF007	SITRF007
TechTheoreticalComplete	New	Green	Tech_Brkthru	sitrep_tech	SITRF008	SITRF008	SITRF008
TechProjectComplete	New	Yellow	Tech_Brkthru	sitrep_tech	SITRF009	SITRF009	SITRF009
TechPositiveOverrun	New	Red	Tech_Brkthru	sitrep_tech	SITRF010	SITRF010	SITRF010
TechOverrun	New	Red	Tech_Brkthru	sitrep_tech	SITRF011	SITRF011	SITRF011
TechStartProject	New	Yellow	Tech_Brkthru	sitrep_tech	SITRF019	SITRF019	SITRF019
TechCancelProject	New	Red	Tech_Brkthru	sitrep_tech	SITRF020	SITRF020	SITRF020
TechProjectVisible	New	Green	Tech_Brkthru	sitrep_tech	SITRF021	SITRF021	SITRF021
TechProjectAvailable	New	Green	Tech_Brkthru	sitrep_tech	SITRF022	SITRF022	SITRF022
ExplorationComplete	New	Event	Reg	ICO_SitRep_ExplorationComplete	SITRF014	SITRF014	SITRF014
ExpCompleteSpecial	New	Event	Reg	ICO_SitRep_ExplorationComplete	SITRF015	SITRF015	SITRF015
ExpSecondaryComplete	New	Green	Reg	sitrep_system	SITRF016	SITRF016	SITRF016
ExpSecondarySpecial	New	Yellow	Reg	sitrep_system	SITRF017	SITRF017	SITRF017
ExpEntireSystem	New	Yellow	Reg	sitrep_system	SITRF018	SITRF018	SITRF018
ForeignShipsEncountered	New	Red	Reg	sitrep_conflict	SITRF023	SITRF023	SITRF023
ColonyShipLanded	New	Event	Reg	ICO_SitRep_ColonyShipLanded	SITRCOL1 	SITRCOL1 	SITRCOL1 
ColonyTFChristened	New	Yellow	TF_Built	sitrep_TaskForces	SITRCOL2	SITRCOL2	SITRCOL2
ColonyTFDisbanded	New	Red	TF_Built	sitrep_TaskForces	SITRCOL3	SITRCOL3	SITRCOL3
TrainingDepotsS	New	Yellow	Spies	sitrep_spymission_mil	TRAINSD1	TRAINSD2	TRAINSD2
SupportDisruptedS	New	Yellow	Spies	sitrep_spymission_mil	SUPRTSD1	SUPRTSD2	SUPRTSD2
RepairFacilitiesS	New	Yellow	Spies	sitrep_spymission_mil	REPARSD1	REPARSD2	REPARSD2
MilBuildDestroyedS	New	Yellow	Spies	sitrep_spymission_econ	MILTBSD1	MILTBSD2	MILTBSD2
ProductionSabotageS	New	Yellow	Spies	sitrep_spymission_sci	MILTPSD1	MILTPSD2	MILTPSD2
MobilizationCenterS	New	Event	Spies	sitrep_spymission_mil	MOBLESD1	MOBLESD2	MOBLESD2
GovBuildDestroyedS	New	Yellow	Spies	sitrep_spymission_econ	GOVSBSD1	GOVSBSD2	GOVSBSD2
EconBuildDestroyedS	New	Yellow	Spies	sitrep_spymission_econ	GOVEBSD1	GOVEBSD2	GOVEBSD2
CivilTradeS	New	Yellow	Spies	sitrep_spymission_mil	CIVTDSD1	CIVTDSD2	CIVTDSD2
RecBuildDestroyedS	New	Yellow	Spies	sitrep_spymission_econ	RECCBSD1	RECCBSD2	RECCBSD2
CitizenFearS	New	Yellow	Spies	sitrep_spymission_consp	CIVFRSD1	CIVFRSD2	CIVFRSD2
ScienceBuildDestroyedS	New	Yellow	Spies	sitrep_spymission_econ	SCIBDSD1	SCIBDSD2	SCIBDSD2
ProjectFacilityS	New	Yellow	Spies	sitrep_spymission_sci	PROFDSD1	PROFDSD2	PROFDSD2
UniversityProfessorS	New	Yellow	Spies	sitrep_spymission_pol	UNIPFSD1	UNIPFSD2	UNIPFSD2
MajorGovResearchS	New	Yellow	Spies	sitrep_spymission_sci	MJGOVSD1	MJGOVSD2	MJGOVSD2
LeaderKilledMS	New	Yellow	Spies	ICO_SitRep_LeaderPoison	LDKILL01	LDKILL01	LDKILL01
LeaderKilledPS	New	Yellow	Spies	ICO_SitRep_LeaderPoison	LDKILL02	LDKILL02	LDKILL02
