TableStart	SpyMissionRollMods																																			
ColumnHeadingsStart	Cipher	Criminal Talent	Charming	Data Analyst	Deep Cover	Disguises	Equipment Specialist	Forger	Fully Indoctrinated	Latest Technology	Legitimate Cover	Native Appearance	Old School	Paranoid	Persuasive	Seductive	Torture																			
RowHeadingsStart																																				
Insertion	1	3	0	0	15	5	0	2	0	0	8	2	2	4	0	0	0																			
Papers	0	0	6	0	15	2	0	2	0	0	8	3	2	0	7	3	0																			
Fingered	0	0	4	0	6	5	0	0	0	2	3	4	0	0	0	3	0																			
Evasion	1	5	3	0	0	4	6	0	0	5	0	12	4	2	1	2	0																			
Captured	0	2	5	0	0	0	3	0	8	5	0	0	5	2	3	3	2																			
Squeezed	0	2	5	0	10	0	0	0	8	0	4	2	5	0	3	3	8																			
Imprisoned	0	10	5	0	0	0	0	3	3	0	0	0	2	2	2	0	3																			
Escape	0	6	2	0	0	4	3	0	0	5	0	12	4	2	1	2	0																			
Blunt Instrument Mission	0	12	3	3	2	3	8	2	0	6	2	2	5	0	0	0	0																			
Extraction	0	3	0	0	15	5	0	2	0	0	8	2	2	4	0	3	0																			
Secret Police Search	2	0	0	0	5	2	3	0	0	2	3	6	2	2	0	0	0																			
Scandal  Attribution	0	0	0	0	5	2	0	0	0	2	0	6	3	0	2	2	0																			
TableEnd																																				
																																				
																																				
TableStart	MoleMissionRollMods																																			
ColumnHeadingsStart	Average	Evil	Stupid	Lazy	Selfish	Underhanded	Driven	Knowledgeable	Charismatic	Garden Variety	Pacifist	Honorable	Cagey	Pragmatic	Territorial	Erratic	Ruthless	Status Quo	Diverse	Homogeneous	Diplomatic	Terraforming	Economist	Expansionist	Militarist	Technologist	Utopian	Self Aggrandizement	No Quirk	Instigator	Unifier	Politician	Sociopathic	Champion Underdog	Paranoid	Xenophobe
RowHeadingsStart																																				
Insertion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fingered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evasion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Squeezed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
