TableStart	Weapon Basic Information																										
ColumnHeadingsStart	FireDlay	Multfire	NearDamg	FarDamag	DmgDisSt	DmgDisEn	DmgDelta	MaxAccry	AccDisSt	AccDisEn	SystCost	UniSpace	ShldPen	ArmrPier	Visual	Type	Level	Weapon#	SizeFudge		m1	m2	Improved	cont	AF	AP	Env
RowHeadingsStart																											
Laser	2.5	1	7	1	4500	7166.67	6	0.7	4500	7166.67	5	10	1	1	101	Beam	1	0	1	"M1, M2, Improved, Armor Piercing, Autofire, Continuous"	4	8	13	1	3	3	
Fusion Beam	2.5	1	31	2	4500	6166.67	29	0.8	4500	6166.67	21	15	1	1	26	Plasma	5	1	0.8	"M1, M2, Improved, Continuous, Enveloping"	9	13	18	6			7
Neutron Blaster	2.5	1	33	3	4500	11627.78	30	0.7	4500	11627.78	22	15	0.9	1	5	Particle	15	2	1.2	"M1, M2, Improved, Continuous"	14	18	13	11		13	
Graviton Beam	2.5	1	49	3	4500	13433.33	46	0.7	4500	13433.33	33	18	0.9	1	104	Particle	20	3	1.2	"M1, M2, Improved, Continuous"	19	23	28	16		18	
Phasors	2.5	1	48	5	4500	17583.33	43	0.7	4500	17583.33	32	14	1	1	105	Beam	25	4	1	"M1, M2, Improved, Continuous, Autofire, Armor Piercing"	24	28	33	21	23	23	
Plasma Cannon	2.5	1	213	6	4500	13111.11	207	0.8	4500	13111.11	142	44	1	1	4	Plasma	30	5	0.8	"M1, M2, Improved, Continuous"	24	28	33	21			22
Disruptor Cannon	2.5	1	209	20	17399	17400.00	0	0.5	4500	17400.00	139	54	1	1	118	Mass	35	6	1.1	"M1, M2, Improved, Autofire"	34	38	43		33	33	
Mauler	4	1	679	1	4500	15888.89	0	1	15887.00	15888.89	453	113	0.5	1	27	Plasma	45	7	0.8	"M1, M2"	49	53					
Stellar Converter	8	1	1000	200	4500	28000.00	0	1	27999.00	28000.00	666	495	1	1	119	Beam	50	8	2.5								
Mass Driver	2.5	1	14	3	5732	5733.33	0	0.5	4500	5733.33	9	22	1	1	9	Mass	1	9	1.1	"M1, M2, Improved, Armor Piercing, Autofire"	4	8	13		3	3	
Gauss Cannon	2.5	1	97	9	14065	14066.67	0	0.5	4500	14066.67	64	27	1	1	10	Mass	25	10	1	"M1, M2, Improved, Armor Piercing, Autofire"	29	33	38		28	28	
Ion Pulse Cannon	2.5	1	33	4	4500	15500.00	29	0.7	4500	15500.00	22	10	1	0.8	114	Beam	20	11	1	"M1, M2, Improved, Autofire"	24	28	33	21	23	23	
Particle Beam	2	1	49	10	4500	13433.33	39	0.9	4500	13433.33	33	18	0.1	0.9	7	Particle	20	12	1.2								
Death Ray	2	1	157	50	4500	18850.00	107	0.9	4500	18850.00	105	45	0.8	0.7	103	Particle	35	13	1.2								
Quark Cannon	2.5	1	15	3	4500	8016.67	14	0.7	4500	8016.67	10	12	0.9	1	109	Particle	5	14	1.2	"M1, M2, Improved, "	9	13	18	6		8	
Hard Beam	2.5	1	15	7	4500	11333.33	8	0.7	4500	11333.33	10	7	1	1	106	Beam	10	15	1	"M1, M2, Improved, "	14	18	23	11	13	13	
Rail Gun	2.5	1	30	7	9065	9066.67	0	0.5	4500	9066.67	20	13	1	1	16	Mass	10	16	1	"M1, M2, Improved, "	14	18	23		13	13	
Hellfire Cannon	2.5	1	67	10	4500	8944.44	57	0.8	4500	8944.44	45	19	1	1	3	Plasma	15	17	0.8	"M1, M2, Improved, "	19	23	28	16			17
Dark Energy Beam	2.5	1	107	20	4500	17044.45	87	0.7	4500	17044.45	71	33	0.9	1	102	Particle	30	18	1.2	"M1, M2, Improved, "	34	38	43	31		33	
Disintegrater Beam	2.5	1	105	23	4500	21750.00	82	0.7	4500	21750.00	70	25	1	1	107	Beam	35	19	1	"M1, M2, Improved, "	39	43	48	36	38	38	
Tachyon Beam	2.5	1	231	27	4500	20655.56	204	0.7	4500	20655.56	154	61	0.9	1	111	Particle	40	20	1.2	"M1, M2, Improved, "	44	48	53	41		43	
Dark Matter Projector	2.5	1	453	30	20732	20733.33	0	0.5	4500	20733.33	302	95	1	1	25	Mass	45	21	1	"M1, M2, Improved, "	49	53			48	48	
Megabolt Cannon	2.5	1	314	23	4500	14500.00	291	0.8	4500	14500.00	209	59	1	1	1	Plasma	35	22	0.8	"M1, M2, Improved, "	39	43	48	36			37
Lightning Field Generator	2.5	5	36	36	4500.00	6363.64	0	0.9	4500	6363.64	24	10	0.7	0.7	2	Plasma	25	23	1	"M1, M2, Improved, "	29	33	38				
TableEnd																											
